job_id,skill_id,relevance,posted_date,skill_name
1,98,1.0,2025-07-17 00:00:00+00:00,English
1,48,1.0,2025-07-17 00:00:00+00:00,CRM
1,42,1.0,2025-07-17 00:00:00+00:00,Business Analysis
1,285,1.0,2025-07-17 00:00:00+00:00,Stakeholder management
2,42,1.0,2025-07-10 00:00:00+00:00,Business Analysis
2,114,1.0,2025-07-10 00:00:00+00:00,Functional specifications
2,285,1.0,2025-07-10 00:00:00+00:00,Stakeholder management
2,269,1.0,2025-07-10 00:00:00+00:00,Scrum
2,98,1.0,2025-07-10 00:00:00+00:00,English
3,229,1.0,2025-06-30 00:00:00+00:00,Project Management
3,98,1.0,2025-06-30 00:00:00+00:00,English
3,235,1.0,2025-06-30 00:00:00+00:00,QA QC
3,42,1.0,2025-06-30 00:00:00+00:00,Business Analysis
3,296,1.0,2025-06-30 00:00:00+00:00,Technical Writing
4,118,1.0,2025-07-17 00:00:00+00:00,Generative AI
4,163,1.0,2025-07-17 00:00:00+00:00,LLM
4,231,1.0,2025-07-17 00:00:00+00:00,Prompt Engineering
4,234,1.0,2025-07-17 00:00:00+00:00,Python
4,10,1.0,2025-07-17 00:00:00+00:00,AWS
5,98,1.0,2025-07-24 00:00:00+00:00,English
5,274,1.0,2025-07-24 00:00:00+00:00,Sharepoint
5,30,1.0,2025-07-24 00:00:00+00:00,Azure
5,69,1.0,2025-07-24 00:00:00+00:00,Data Analysis
5,138,1.0,2025-07-24 00:00:00+00:00,IT Support
6,98,1.0,2025-07-26 00:00:00+00:00,English
6,296,1.0,2025-07-26 00:00:00+00:00,Technical Writing
6,69,1.0,2025-07-26 00:00:00+00:00,Data Analysis
6,188,1.0,2025-07-26 00:00:00+00:00,Mobile Apps
6,7,1.0,2025-07-26 00:00:00+00:00,API
7,69,1.0,2025-07-17 00:00:00+00:00,Data Analysis
7,98,1.0,2025-07-17 00:00:00+00:00,English
7,7,1.0,2025-07-17 00:00:00+00:00,API
7,132,1.0,2025-07-17 00:00:00+00:00,HTML
7,262,1.0,2025-07-17 00:00:00+00:00,SQL
8,72,1.0,2025-07-10 00:00:00+00:00,Data Science
8,6,1.0,2025-07-10 00:00:00+00:00,AI
8,163,1.0,2025-07-10 00:00:00+00:00,LLM
8,234,1.0,2025-07-10 00:00:00+00:00,Python
8,98,1.0,2025-07-10 00:00:00+00:00,English
